Model,(i) $I(V; \acute{Z} \mid Z)$,(ii) $I(V;\acute{\Theta} \mid \acute{Z})$,(iii) $I(S;\acute{\Theta} \mid \acute{Z})$,FQI,RMSE,Prefix,Type,Depth,LatDim,Comp,Source,ISCORE,Scaling,ISCOREScal
FC_ART_1_50_800_Mimic,3.2819422963356546,0.9895839880706654,0.3600869610320337,0.0878579381884341,3.6565141318652414,FC,ART,1,50,800,Mimic,2.7205511662171196,0.4708566750046867,1.2809896763051156
FC_ART_1_50_800_VitalDB,3.8818267444085013,0.27986085494180807,0.743772605366318,0.0444830402935718,4.591866716384794,FC,ART,1,50,800,VitalDB,4.358617140313728,0.48331287266066436,2.106575770913038
FC_II_1_50_800_Mimic,2.8509890196695524,0.31042086947887176,0.6724209400184928,0.2119015494809038,0.3886131859092324,FC,II,1,50,800,Mimic,3.2524368581809076,0.7435204111852356,2.4182531901486843
FC_II_1_50_800_VitalDB,2.0235239174839283,0.25577646529038717,0.7129100850174491,0.1765943745047097,0.048588229015458055,FC,II,1,50,800,VitalDB,2.5610277414713347,0.8953464846438439,2.2930071854017227
SKZFC_ART_1_50_800_Mimic,3.517190136716714,0.057242977147097,0.7896597823735122,0.0859567946085999,3.673248680077105,SKZFC,ART,1,50,800,Mimic,4.263775927767789,0.4715138582168582,2.0104294382739543
SKZFC_ART_1_50_800_VitalDB,4.272571423470896,0.018860268248981658,1.000775615798464,0.0426774805397797,4.600317859070126,SKZFC,ART,1,50,800,VitalDB,5.259697199855354,0.4841345130712278,2.546400942754072
SKZFC_II_1_50_800_Mimic,2.7671041578528586,0.16104704688615215,0.7656044372108108,0.2239323885320094,0.38078325280594605,SKZFC,II,1,50,800,Mimic,3.405417882566468,0.7413475808126431,2.5245983088967643
SKZFC_II_1_50_800_VitalDB,2.004491884516645,0.10163339122254833,0.6911401899922919,0.1698436734673099,0.04978080948834601,SKZFC,II,1,50,800,VitalDB,2.6660594577694834,0.897617330959244,2.393101174661693
SKZ_ART_1_50_800_Mimic,3.082947492192361,7.70494261199034e-08,0.8838131129788844,0.0785885763528972,5.845308061619835,SKZ,ART,1,50,800,Mimic,3.985518170619996,0.46365680887701144,1.8479126367110117
SKZ_ART_1_50_800_VitalDB,1.2967602970168093,1.2334942066327793e-11,0.8600495922026541,0.2433604527313512,5.2009050790156,SKZ,ART,1,50,800,VitalDB,2.266286171024551,0.3947502228288768,0.8946169710059435
SKZ_II_1_50_800_Mimic,2.9232448070357537,6.439695537356356e-06,0.8533128976853228,0.5499576183045642,0.4430492252549826,SKZ,II,1,50,800,Mimic,3.799194497821529,0.6095249314922704,2.315703766010478
SKZ_II_1_50_800_VitalDB,1.8742332419540815,1.0032722836205054e-09,0.8750011836085504,0.455630535278178,0.05747122875577048,SKZ,II,1,50,800,VitalDB,2.8112480309804844,0.7890985532773441,2.2183517541504827
