MetricType,Model,Source,Type,Depth,LatDim,Comp,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
fft,SKZFC_ART_1_30_800_Mimic,Mimic,ART,1,30,800,0.6910014062779515,0.8924120503532674,0.605244804454129,0.9783364677923966,0.7917486822194361,0.7773487729955081,0.7630528429863868
fft,SKZFC_ART_1_30_800_VitalDB,VitalDB,ART,1,30,800,0.7366374083487697,0.9173090897424067,0.7185476471892505,0.968242760383866,0.8351842264160731,0.8280419209482001,0.820991088943368
fft,SKZFC_II_1_30_800_Mimic,Mimic,II,1,30,800,0.42809143744422906,0.892143621870355,0.402850711210495,0.3951680472599171,0.5295634544462491,0.49656295629403374,0.4722704396509331
fft,SKZFC_II_1_30_800_VitalDB,VitalDB,II,1,30,800,0.508965300351062,0.8362246220818077,0.4256746216636512,0.8060485427992865,0.6442282717239518,0.6181765412920457,0.5925527676838416
matching_pursuit,SKZFC_ART_1_30_800_Mimic,Mimic,ART,1,30,800,0.5967789826756915,0.8913813815918025,0.6148026885338475,0.9783364677923966,0.7703248801484345,0.7520994475792466,0.7344573457886963
matching_pursuit,SKZFC_ART_1_30_800_VitalDB,VitalDB,ART,1,30,800,0.6735609111993845,0.9120144389719573,0.7059365066539693,0.968242760383866,0.8149386543022943,0.8049744989950384,0.7951531560423025
matching_pursuit,SKZFC_II_1_30_800_Mimic,Mimic,II,1,30,800,0.3378796552999539,0.869180648972452,0.19266539402740035,0.3951680472599171,0.4487234363899308,0.38669130499872983,0.338093202392812
matching_pursuit,SKZFC_II_1_30_800_VitalDB,VitalDB,II,1,30,800,0.42347134638511497,0.8361901336594519,0.24743904861920074,0.8060485427992865,0.5782872678657636,0.5155130049036123,0.4525217309729519
welch_evo,SKZFC_ART_1_30_800_Mimic,Mimic,ART,1,30,800,0.8634436833921998,0.905146272723583,0.702670883082118,0.9783364677923966,0.8623993267475742,0.8561468163508026,0.8495758909064807
welch_evo,SKZFC_ART_1_30_800_VitalDB,VitalDB,ART,1,30,800,0.8873141841340435,0.9310546311892507,0.8459330215673442,0.968242760383866,0.9081361493186262,0.9069705936680679,0.9058026642051042
welch_evo,SKZFC_II_1_30_800_Mimic,Mimic,II,1,30,800,0.5991500161210145,0.9072812421335708,0.4942990837691984,0.3951680472599171,0.5989745973209253,0.5708372212921273,0.5460854636672162
welch_evo,SKZFC_II_1_30_800_VitalDB,VitalDB,II,1,30,800,0.715896202240281,0.845353449722116,0.7052555044622819,0.8060485427992865,0.7681384248059914,0.7658593474468456,0.763601615685307
fft,ConVAE_ART_30_Mimic,Mimic,ART,,30,,0.07984020760397825,0.6282631853310289,0.6042928956360639,0.9824704991898252,0.5737166969402241,0.41541537777637183,0.23824589880073882
fft,ConVAE_ART_30_VitalDB,VitalDB,ART,,30,,0.03324107069598625,0.6947796922626062,0.6981525528302944,0.9774215456114432,0.6008987153500825,0.354314225713164,0.11772315044990121
fft,ConVAE_II_30_Mimic,Mimic,II,,30,,0.01789139570156384,0.7135027413101322,0.419587021146519,0.425464917822434,0.3941115189951623,0.21848992579659418,0.06448701530733036
fft,ConVAE_II_30_VitalDB,VitalDB,II,,30,,0.02847272440764126,0.6949179012762949,0.5565750766432362,0.8705874896871783,0.5376382980035876,0.31291377012807026,0.10125120390188538
fft,DiffWave_ART_Mimic,Mimic,ART,,0,,0.9399862990358754,0.032260326186644976,0.6889078719056432,0.9606086695038284,0.655440791657998,0.37637821801136395,0.11575999548830349
