Type,Source,Hyperparameter,Setting,mean,std,max,min,n,IscoreType,MetricType
ART,Mimic,$\zeta$,1,0.834342698697065,0.0024666929219039502,0.837164325341565,0.8325951491571952,3,ISCOREam,fft
ART,Mimic,$\zeta$,2,0.7834410208071958,0.007084754632153325,0.7915273363141331,0.7783243760535646,3,ISCOREam,fft
ART,VitalDB,$\zeta$,1,0.866620645901179,0.015357329227224758,0.8812690837032854,0.8506410810531554,3,ISCOREam,fft
ART,VitalDB,$\zeta$,2,0.8320959825458835,0.03124457773513091,0.8680825386014016,0.811877962894042,3,ISCOREam,fft
II,Mimic,$\zeta$,1,0.6206926586574263,0.007089156432026618,0.6262233503762771,0.6127009636180263,3,ISCOREam,fft
II,Mimic,$\zeta$,2,0.6050785828856382,0.03171389892722828,0.6415170232418784,0.583704773436315,3,ISCOREam,fft
II,VitalDB,$\zeta$,1,0.7198063566348756,0.012188352848485103,0.7338180990985477,0.7116562607712592,3,ISCOREam,fft
II,VitalDB,$\zeta$,2,0.6909570823473516,0.000986562061881466,0.6916282366318129,0.6898243423316875,3,ISCOREam,fft
ART,Mimic,$J$,30,0.8106079083255058,0.02881568775994831,0.837164325341565,0.7804713500538899,4,ISCOREam,fft
ART,Mimic,$J$,50,0.8054597626053799,0.03837523168181365,0.8325951491571952,0.7783243760535646,2,ISCOREam,fft
ART,VitalDB,$J$,30,0.8496383388739239,0.0264727649806336,0.8680825386014016,0.811877962894042,4,ISCOREam,fft
ART,VitalDB,$J$,50,0.848798264922746,0.04592067230079778,0.8812690837032854,0.8163274461422066,2,ISCOREam,fft
II,Mimic,$J$,30,0.6152691055685487,0.0241800318995607,0.6415170232418784,0.583704773436315,4,ISCOREam,fft
II,Mimic,$J$,50,0.6081186511774991,0.02560391114959715,0.6262233503762771,0.5900139519787211,2,ISCOREam,fft
II,VitalDB,$J$,30,0.701763387442395,0.012799943266937142,0.7139447100348201,0.6898243423316875,4,ISCOREam,fft
II,VitalDB,$J$,50,0.7126183835885511,0.02998092519268838,0.7338180990985477,0.6914186680785546,2,ISCOREam,fft
ART,Mimic,$C$,500,0.8088178376977275,0.04008798727155649,0.837164325341565,0.7804713500538899,2,ISCOREam,fft
ART,Mimic,$C$,800,0.808928870779332,0.028236883096790847,0.833268621592435,0.7783243760535646,4,ISCOREam,fft
ART,VitalDB,$C$,500,0.8312595219735988,0.027409663710244506,0.8506410810531554,0.811877962894042,2,ISCOREam,fft
ART,VitalDB,$C$,800,0.8584077103484975,0.028740693913841715,0.8812690837032854,0.8163274461422066,4,ISCOREam,fft
II,Mimic,$C$,500,0.6271089934299523,0.020376031167101762,0.6415170232418784,0.6127009636180263,2,ISCOREam,fft
II,Mimic,$C$,800,0.6057739344423221,0.022027698139808108,0.6262233503762771,0.583704773436315,4,ISCOREam,fft
II,VitalDB,$C$,500,0.7027864733333165,0.01578012967543553,0.7139447100348201,0.6916282366318129,2,ISCOREam,fft
II,VitalDB,$C$,800,0.7066793425700122,0.020641875235107052,0.7338180990985477,0.6898243423316875,4,ISCOREam,fft
ART,Mimic,$\zeta$,1,0.8180313640483882,0.004491738010154607,0.8228042805726548,0.8138870203402843,3,ISCOREgm,fft
ART,Mimic,$\zeta$,2,0.7621679046513125,0.008860281299824562,0.772357731050916,0.7562791632764764,3,ISCOREgm,fft
ART,VitalDB,$\zeta$,1,0.8584391044755627,0.016428167421250327,0.8741895109326928,0.8414081267223043,3,ISCOREgm,fft
ART,VitalDB,$\zeta$,2,0.8216816133645941,0.035201739324128026,0.8621495920669928,0.7981431609328755,3,ISCOREgm,fft
II,Mimic,$\zeta$,1,0.5667256123144206,0.010633664281480167,0.5746352236670796,0.5546373355316911,3,ISCOREgm,fft
II,Mimic,$\zeta$,2,0.5319038933293125,0.0022519642829013716,0.5341580981724837,0.5296541763143641,3,ISCOREgm,fft
II,VitalDB,$\zeta$,1,0.6880899958375334,0.012868617595534575,0.702594397888553,0.6780417154717896,3,ISCOREgm,fft
II,VitalDB,$\zeta$,2,0.651341435637338,0.001923679698808575,0.6535291700181577,0.6499145409813295,3,ISCOREgm,fft
ART,Mimic,$J$,30,0.7922109915330682,0.03294350892045113,0.8228042805726548,0.7562791632764764,4,ISCOREgm,fft
ART,Mimic,$J$,50,0.7858769199834147,0.039612263808116416,0.8138870203402843,0.7578668196265451,2,ISCOREgm,fft
ART,VitalDB,$J$,30,0.8403551388734659,0.029625120783743953,0.8621495920669928,0.7981431609328755,4,ISCOREgm,fft
ART,VitalDB,$J$,50,0.8394707990133035,0.049099673264524975,0.8741895109326928,0.804752087093914,2,ISCOREgm,fft
II,Mimic,$J$,30,0.5473384719407575,0.019105646437387946,0.5709042777444912,0.5296541763143641,4,ISCOREgm,fft
II,Mimic,$J$,50,0.5532673145840847,0.030218786824726642,0.5746352236670796,0.5318994055010898,2,ISCOREgm,fft
II,VitalDB,$J$,30,0.6662798251558835,0.017028474319279337,0.6836338741522573,0.6499145409813295,4,ISCOREgm,fft
II,VitalDB,$J$,50,0.6765874969005401,0.036779312092542274,0.702594397888553,0.650580595912527,2,ISCOREgm,fft
ART,Mimic,$C$,500,0.7895417219245655,0.047040361559358174,0.8228042805726548,0.7562791632764764,2,ISCOREgm,fft
ART,Mimic,$C$,800,0.7903785905624927,0.02980335730183679,0.8174027912322254,0.7578668196265451,4,ISCOREgm,fft
ART,VitalDB,$C$,500,0.8197756438275898,0.03059295069750901,0.8414081267223043,0.7981431609328755,2,ISCOREgm,fft
ART,VitalDB,$C$,800,0.8502027164663227,0.030953870895026343,0.8741895109326928,0.804752087093914,4,ISCOREgm,fft
II,Mimic,$C$,500,0.5421457559230276,0.017665761298035175,0.5546373355316911,0.5296541763143641,2,ISCOREgm,fft
II,Mimic,$C$,800,0.552899251271286,0.023013458498136057,0.5746352236670796,0.5318994055010898,4,ISCOREgm,fft
II,VitalDB,$C$,500,0.6685815220852075,0.02128724043883652,0.6836338741522573,0.6535291700181577,2,ISCOREgm,fft
II,VitalDB,$C$,800,0.6702828125635498,0.025214301158703413,0.702594397888553,0.6499145409813295,4,ISCOREgm,fft
ART,Mimic,$\zeta$,1,0.8008929776201351,0.007076949578947396,0.8079519989216787,0.7937982349935686,3,ISCOREhm,fft
ART,Mimic,$\zeta$,2,0.7409755651669436,0.011498436089760904,0.7535630882709762,0.7310239724146939,3,ISCOREhm,fft
ART,VitalDB,$\zeta$,1,0.8500632468836834,0.017427279500555885,0.8668206485311034,0.8320355985364981,3,ISCOREhm,fft
ART,VitalDB,$\zeta$,2,0.811429136605757,0.039144105696874265,0.8562928229900664,0.7842330260181029,3,ISCOREhm,fft
II,Mimic,$\zeta$,1,0.5213872718660973,0.014162478488688617,0.5311571355911853,0.5051450463542072,3,ISCOREhm,fft
II,Mimic,$\zeta$,2,0.46006088589452854,0.0519591579837789,0.4944458935554658,0.40028895587603736,3,ISCOREhm,fft
II,VitalDB,$\zeta$,1,0.6548505687085938,0.013322116017882671,0.6695384758606042,0.643547093341467,3,ISCOREhm,fft
II,VitalDB,$\zeta$,2,0.6106684257563594,0.00312183665510423,0.6142612998711572,0.6086184028208752,3,ISCOREhm,fft
ART,Mimic,$J$,30,0.7733669396381266,0.03715237230650029,0.8079519989216787,0.7310239724146939,4,ISCOREhm,fft
ART,Mimic,$J$,50,0.7660689349043648,0.03921515226126564,0.7937982349935686,0.7383396348151609,2,ISCOREhm,fft
ART,VitalDB,$J$,30,0.830973735282029,0.03287043969143895,0.8562928229900664,0.7842330260181029,4,ISCOREhm,fft
ART,VitalDB,$J$,50,0.8302911046701027,0.05166057635553004,0.8668206485311034,0.793761560809102,2,ISCOREhm,fft
II,Mimic,$J$,30,0.48193488235965243,0.05618533974419057,0.5278596336528993,0.40028895587603736,4,ISCOREhm,fft
II,Mimic,$J$,50,0.5083024719216338,0.03232137532495528,0.5311571355911853,0.4854478082520824,2,ISCOREhm,fft
II,VitalDB,$J$,30,0.6294732332393024,0.021198177745781074,0.6514661369237102,0.6086184028208752,4,ISCOREhm,fft
II,VitalDB,$J$,50,0.639332025218825,0.042718372168757714,0.6695384758606042,0.6091255745770457,2,ISCOREhm,fft
ART,Mimic,$C$,500,0.7694879856681862,0.05439632920638741,0.8079519989216787,0.7310239724146939,2,ISCOREhm,fft
ART,Mimic,$C$,800,0.7716574142562159,0.030465844864960834,0.800928698945158,0.7383396348151609,4,ISCOREhm,fft
ART,VitalDB,$C$,500,0.8081343122773005,0.03380152318591899,0.8320355985364981,0.7842330260181029,2,ISCOREhm,fft
ART,VitalDB,$C$,800,0.84205213147843,0.03283493885996034,0.8668206485311034,0.793761560809102,4,ISCOREhm,fft
II,Mimic,$C$,500,0.45271700111512225,0.07414445262582406,0.5051450463542072,0.40028895587603736,2,ISCOREhm,fft
II,Mimic,$C$,800,0.5097276177629082,0.023173508432559026,0.5311571355911853,0.4854478082520824,4,ISCOREhm,fft
II,VitalDB,$C$,500,0.6328637183974337,0.026307792572800796,0.6514661369237102,0.6142612998711572,2,ISCOREhm,fft
II,VitalDB,$C$,800,0.632707386649998,0.02949807550875417,0.6695384758606042,0.6086184028208752,4,ISCOREhm,fft
ART,Mimic,$\zeta$,1,0.9996531976957832,0.0002648957642733562,0.9998276064687185,0.9993483790844304,3,MS,fft
ART,Mimic,$\zeta$,2,0.9995862447986692,0.00013078292176332696,0.9997002217977491,0.9994434594146548,3,MS,fft
ART,VitalDB,$\zeta$,1,0.9995320538187458,0.00045528723837858897,0.9998972782355845,0.9990219590711903,3,MS,fft
ART,VitalDB,$\zeta$,2,0.999595744459894,0.0001671203201769058,0.9996970687264078,0.9994028527721217,3,MS,fft
II,Mimic,$\zeta$,1,0.9982971897211481,0.0009087590522835396,0.99929383295865,0.9975144921048807,3,MS,fft
II,Mimic,$\zeta$,2,0.986798225497021,0.021087064468198444,0.9991481806218169,0.9624498265672086,3,MS,fft
II,VitalDB,$\zeta$,1,0.9887829499893176,0.006658060968413175,0.9942498836216638,0.9813682169604891,3,MS,fft
II,VitalDB,$\zeta$,2,0.9925244755546668,0.006698811233793009,0.9968825418406527,0.9848110485305694,3,MS,fft
ART,Mimic,$J$,30,0.9995799166913882,0.00022215144700532636,0.9998276064687185,0.9993483790844304,4,MS,fft
ART,Mimic,$J$,50,0.9996993303589021,0.00011918592430585721,0.9997836075342007,0.9996150531836034,2,MS,fft
ART,VitalDB,$J$,30,0.9995208159570532,0.0003326729584024991,0.9996970687264078,0.9990219590711903,4,MS,fft
ART,VitalDB,$J$,50,0.9996500655038532,0.00034961159800587875,0.9998972782355845,0.9994028527721217,2,MS,fft
II,Mimic,$J$,30,0.9896015830631391,0.01811913577134747,0.99929383295865,0.9624498265672086,4,MS,fft
II,Mimic,$J$,50,0.9984399567009756,0.0005044677982916379,0.9987966693020379,0.9980832440999134,2,MS,fft
II,VitalDB,$J$,30,0.9890772463513752,0.007086630234383858,0.9958798362927783,0.9813682169604891,4,MS,fft
II,VitalDB,$J$,50,0.9938066456132263,0.0043499741612787,0.9968825418406527,0.9907307493857999,2,MS,fft
ART,Mimic,$C$,500,0.9996355329416866,0.00027163298690119857,0.9998276064687185,0.9994434594146548,2,MS,fft
ART,Mimic,$C$,800,0.9996118153999959,0.00018862432163763748,0.9997836075342007,0.9993483790844304,4,MS,fft
ART,VitalDB,$C$,500,0.9996821180153073,7.3452355189399185e-06,0.9996873118811521,0.9996769241494624,2,MS,fft
ART,VitalDB,$C$,800,0.9995047897013261,0.0003805850881400268,0.9998972782355845,0.9990219590711903,4,MS,fft
II,Mimic,$C$,500,0.9808718297629293,0.026052646765468764,0.99929383295865,0.9624498265672086,2,MS,fft
II,Mimic,$C$,800,0.9983856465321622,0.0007304690781600677,0.9991481806218169,0.9975144921048807,4,MS,fft
II,VitalDB,$C$,500,0.9895304660761166,0.006674264299414347,0.9942498836216638,0.9848110485305694,2,MS,fft
II,VitalDB,$C$,800,0.9912153361199301,0.007096369085351915,0.9968825418406527,0.9813682169604891,4,MS,fft
ART,Mimic,$\zeta$,1,0.6969686374911594,0.012920485548956804,0.7117942571746454,0.6881102490208815,3,MP,fft
