Model,Metrics,Values
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4748531806496583
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4467145954058163
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3143773972170054
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2684724227101465
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.32435347526829
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.191558599063454
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.114430375594533
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4665166336964086
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2534116753386417
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.427182542925613
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.344396967399642
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.438145723296298
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3203899034907773
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5563721986777
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5005756375139434
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4418859631626235
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3655975635116033
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.199292041536005
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2413795551668176
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4077648985914077
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3032883287458947
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.166094949280435
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3655526624509364
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.062198227204654
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.217346458006939
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.180704966306202
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2093042680080335
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.303912566600994
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5265163407001063
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.362417161327743
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2745673732306155
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.309349137109546
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1801730602736655
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1492318024754464
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.225483985522995
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.249958406112611
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.378298400455327
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.210716046501594
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.117441636584062
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2478027079323164
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1392161772778384
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.455886439233796
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2362686945031833
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0153809352572853
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3717726842851783
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2197903257541163
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.13737474479274
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1985253093433554
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.242018557810293
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3585483251196577
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1927460271365242
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1441034857101577
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3246443366990723
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1598280805805787
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3994826627503607
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.361529037618532
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.413389099755138
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.221596585183819
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2833451276901626
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1113504489206223
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1811807273340134
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2065679698360094
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1425180413833296
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4176227151465595
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3002074599151
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0771483415464718
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0667828944379267
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2149979809680698
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.141056342094932
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2900795898961332
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.369836307748202
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.280905265912354
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4450898467311357
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.148303098304477
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3613874056042055
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3934284839862503
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2210816678389715
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2871680313141143
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.119493545531232
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.230726587544902
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2137780574293595
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3448408448297857
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.132675514430996
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.42679416097348
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3845626381072806
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5169812192218215
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3348406230653285
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.475649735506559
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2456660415151255
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2055200353218023
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.357064819788348
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.409629801991293
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.230536332435074
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3031251631016034
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3123054940062566
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4768114719799503
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1564715074813394
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1332895054870793
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.482210002057102
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.160086732188103
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4818224616400437
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.435080284862499
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2498229944126984
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.165567093867418
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.600158937112884
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.36664480302139
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3986665509526706
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.154281921053182
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.285246401691707
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1800616589321877
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.344465725456946
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1050934342311014
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4048976274799565
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.529467041310913
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.27402489306361
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.385064649591218
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.466883247132106
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.117636152769916
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.382983525650585
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0069751420895843
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0587265833726356
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4600326101694323
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1626542883395596
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1793308913746205
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.295299493441838
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1624728974737675
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.068249304537671
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4493975853736187
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.463740669919513
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1682311621359913
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3642935385155175
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.475962229686749
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.520054083532817
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.369638892971365
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.178219150642075
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4038335450294688
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3222900825679624
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.018941842839148
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.342106925794527
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2311776552914284
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4143859088339017
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.329873049275073
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1264395842876462
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2879713497691245
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1745211775100484
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.389876555389391
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3800235896506
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3074340023726814
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.366295550937715
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2500391274250506
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4287866173309505
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5511993973123963
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1381952584808026
FC_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.234102120571303
