Model,Metrics,Values
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.851018522605772
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8569122752847576
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.2165545913335025
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.758375787165499
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6532173689427223
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.953134892804142
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.597577095656888
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9078926372263156
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.157935799542647
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8472022298875657
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.778830713233703
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8394693138352793
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.747241914357454
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.705483748744656
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9112466609726066
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.912419391241222
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.776455404404548
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.038779662708941
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5961555139461803
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.278847383419171
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.706011333234139
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.012483211830377
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.642823294904568
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8495327942643813
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9709521770732046
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.005584087416702
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.071508062832596
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.049901133740801
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4853772603493116
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.530516517389813
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9778429151402053
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.025978627292763
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.083589960623976
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.1273845042629285
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8985650034029105
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.263093530629542
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.95551435782872
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9894608809819503
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.827435279882108
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.781572067917776
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.4862860570204215
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6524612421958023
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.646630603241645
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8691718589170008
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5431940882621196
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.625530597282688
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8049214310962522
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6504074853860438
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5257216963867717
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.909923372720627
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.814663733342455
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.882832687360458
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.059081936243297
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.816179239876792
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7143280405061745
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.5751763749461514
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.295384543417505
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9144997896126967
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8195759108316953
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.001382663791655
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.820578176781288
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8135075718376528
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.6398319389425238
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.61550591821149
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8565385845131295
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.664427522894112
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.143262124712426
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.322170989974274
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8952929593677976
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9479563401328868
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.243674413498667
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.052787741756738
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.831187096243148
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.252061416640173
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9181230586098366
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.762174072721036
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,4.035456672850337
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.8663309238388295
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.9629533861102444
FC_ART_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,3.7781010851486907
