Model,Metrics,Values,MetricType
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.730845736194647,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7460572360705044,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8900985317396803,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.939074201738127,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8411820429346246,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.915689012538603,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6398043527811392,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.915428472888612,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8826376426565123,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.869111407648873,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9962348677461623,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.628964408012517,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0265977292925714,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.713752101387921,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6770656389179117,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0851757705904657,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8460996419235562,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.860273929713569,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.811384131821821,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.82639434092999,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.882976736126803,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9601745696397974,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8961861639669046,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8066124857651498,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.859038967451134,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7320424078563033,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.626455924726196,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8666364357896934,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.083045824636175,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7868555384137106,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.15543647580944,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9048418216453484,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8162140952082253,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6992527970069973,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8766272102225257,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9750911542826497,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9203340952841135,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9000660469631305,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0082832884021933,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.90099611871057,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8248137758308656,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.917526378425888,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.605345500814862,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.95396976728049,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.90558193525832,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.864922873217489,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8858093293635245,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.847019097146405,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.052712537023203,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8254067374310763,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.782089655133508,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.848984252194672,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9100403732217774,fft
FC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8209101247549513,fft
