Model,Metrics,Values
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9732632211314252
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0088645758783112
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.353139919469883
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.027200369404679
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1021031690018157
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0708632126515516
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9047763738328627
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1025410199187538
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0541406082713247
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8458952041747307
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0838899450479422
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.710692450944403
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9793636420189866
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.110533170263535
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9850402866729062
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9883573971475457
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1868938926239228
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0666610345864083
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.29244487865839
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8570765614379618
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0641019593097907
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.059222260737246
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9058189251253388
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1981927431299724
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9878284614086164
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1872578489200176
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2020835758357924
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.090005482518983
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.131153547589848
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8449595197672113
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9866793665959634
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1909123468896436
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.108721852385804
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1330328580242255
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0920202131018
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9963724956183078
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8341926214023594
FC_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.911668276523295
