Model,Metrics,Values
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.824384936705093
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.781061745456592
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.38332920167545
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.593254901601583
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.504253324229828
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.8446148066322765
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.574217756132636
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.8889896874405023
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.655992879611274
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.62135360498421
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6056626890784576
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1725233560496817
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,4.007299446637326
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.7313670248020645
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.612748880214197
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.55653321499525
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,4.0308503654827925
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.91179514321622
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.311891710986134
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.8383998948427074
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5504788486168892
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.9002320569557516
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.537848609254848
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.350022464891906
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.526178605863687
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.54085559103359
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3442559641744394
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.663921570627075
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6804507200716916
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6339001628225316
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4651396489944744
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.7229026571422077
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4305476370619563
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.9193688241226607
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.672319839745064
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5618791597916246
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4799809231431658
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.7416092469994937
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,4.121360486521205
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.154367882808533
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6829480150300675
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.648329506758189
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.5425260614700322
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3794127965465264
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.7769014669437064
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.485298719003321
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.697617639254691
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3203531808114035
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1913959679235666
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6977308310077097
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4243721928928736
SKZFC_ART_2_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.403656483205678
