Model,Metrics,Values,MetricType
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.686314332096668,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.752164656618012,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7597529999400088,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.645036251932144,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7087437901850446,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.872156824647592,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.890458049607724,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.714510048482365,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.81052309678877,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.986098633617689,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.545669890647577,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7419645626452147,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.460426511658089,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8506260850601812,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7716728732044915,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.713869552042188,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8860944714679277,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9112963265924545,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7177496354217503,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.630785324764371,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6578986035310557,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7878652792753367,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.830432951589973,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9066449607411387,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.976601061364266,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.718866511285628,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.5705960495618383,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7161066712513486,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6822174717613394,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8098084390408498,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7555174131801112,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.896108167689266,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8861971888984135,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9973668894448844,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.761052509659817,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6425349038018764,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8927624332509225,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7616994220737556,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.920242852163218,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9056906443114188,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.747575647043974,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.928564999214318,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.659816770195507,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.4580083994933317,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.769044357214844,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8272563490227287,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.81151532358683,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.843514708806749,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9001389746761777,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8190856606123527,fft
SKZFC_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8178769791255256,fft
