Model,Metrics,Values,MetricType
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.675735092588401,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6876836166723306,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8156075139554384,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7509182792962736,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8525564713852283,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6044535259664718,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.780911048653777,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9074997033813448,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7797236776834346,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7800532476377173,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.622050953188471,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6227159648984506,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8352131520436665,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.951179848889093,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7541820943606723,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7313435191925783,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.5851664604945774,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7760849988202398,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6283091969861487,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8737602070119632,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.668549077757154,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6187747160861512,fft
SKZFC_II_2_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7252491268233459,fft
