Model,Metrics,Values,MetricType
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1640988687047353,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.946680173622196,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.101134129192228,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.156569516893713,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9211607714604604,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7532321981031176,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2484227603631566,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1742185153549527,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.373595566339353,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.965660794166951,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6452888200474423,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.317343536268824,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.635490925915639,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.025929553761587,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2354888713446575,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.028250444093499,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9837933831375936,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2361950950104967,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4289630542389973,fft
SKZ_ART_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.079477557308089,fft
