Model,Metrics,Values,MetricType
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9395907067061398,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.951257297300456,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.73690234163921,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9701283246689623,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8156192758019394,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.83503465032817,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0984440099508292,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.88277975299613,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.838680116556451,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.09787276698161,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9443223606979867,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7794819620962716,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.483079017740843,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9301922947912358,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.620407197030899,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.4322933693568696,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.831749850471981,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.874580711333039,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.755239054290684,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.8121923371392366,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.6936157793863225,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.014436999519443,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.7618687580587387,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.914667087148857,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.812493268937386,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3447181181335424,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.226517612706691,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0990286986037194,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.9742455794402503,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2609009447441144,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.0165086852578042,fft
SKZ_II_1_50_800_Mimic,(i) $I(V; \acute{Z} \mid Z)$,2.644865130598599,fft
