Model,Metrics,Values
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9234007239149096
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9567249618027516
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9178542459469066
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7698579031500146
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7101501764765628
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8992072248748746
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.798536586503089
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.827996842869648
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8676181450481513
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8096474679658876
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9958777086446107
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0371594122430605
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7722456137100815
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9270047746439818
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.749213127031857
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9066553921962648
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.76532245633124
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9733839919925176
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8721168736430507
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9925863192387885
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8810815057494108
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7881740942477946
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9429884081829687
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9488148197436574
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7838321619344992
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.910118572353188
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.879752707990489
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8289134277913721
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.938820232510463
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8595441573574454
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8348185549241742
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6861842710817325
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.843146028244175
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.94025796857067
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6917346826262676
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8249185508476904
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6997128462024846
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9250079952046688
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9349773182588035
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9358084580348496
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8711453403142146
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7980311828791757
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8320049315440108
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.889997317887923
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.08525042979781
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8349563486663474
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.897484397762402
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.02097612103662
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8651426045162751
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8793105481248578
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9826319826562746
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9871753334589461
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9479777988863318
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9891784680003068
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1347885106729105
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.881415957781157
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.943503905475837
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8898445111411974
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.8239537087902011
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9163814549760971
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9516311377379072
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.892452249277858
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.910916382055303
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9363416442906982
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9365471918557295
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.06155726056559
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9814057515048873
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.7782635811387166
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9792374771805665
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.940678258057996
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.6420349039338262
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0443870880596493
SKZ_II_1_50_800_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,1.9385832233235134
