1 saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.00604, 'val_kl_Loss_FC': 0.0}
2 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_FC': 1e-05}
3 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00598, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 0.0}
5 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 0.0}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00597, 'val_kl_Loss_FC': 1e-05}
7 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 1e-05}
9 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 1e-05}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 1e-05}
11 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 1e-05}
14 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_FC': 1e-05}
16 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_FC': 1e-05}
19 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 1e-05}
23 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_FC': 1e-05}
24 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_FC': 0.0}
25 saved {'val_OrigRecLoss': 0.01096, 'val_FeatRecLoss': 0.00584, 'val_kl_Loss_FC': 0.0}
26 saved {'val_OrigRecLoss': 0.01078, 'val_FeatRecLoss': 0.00574, 'val_kl_Loss_FC': 1e-05}
27 saved {'val_OrigRecLoss': 0.01054, 'val_FeatRecLoss': 0.00566, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.01039, 'val_FeatRecLoss': 0.00556, 'val_kl_Loss_FC': 2e-05}
29 saved {'val_OrigRecLoss': 0.0098, 'val_FeatRecLoss': 0.00554, 'val_kl_Loss_FC': 1e-05}
30 saved {'val_OrigRecLoss': 0.00946, 'val_FeatRecLoss': 0.00549, 'val_kl_Loss_FC': 0.0}
