1 saved {'val_OrigRecLoss': 0.01003, 'val_FeatRecLoss': 0.00527, 'val_kl_Loss_FC': 2e-05}
2 saved {'val_OrigRecLoss': 0.00999, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00518, 'val_kl_Loss_FC': 2e-05}
5 not saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00517, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
7 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00519, 'val_kl_Loss_FC': 0.0}
8 not saved {'val_OrigRecLoss': 0.01003, 'val_FeatRecLoss': 0.00517, 'val_kl_Loss_FC': 1e-05}
9 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 1e-05}
10 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00517, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 1e-05}
14 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00524, 'val_kl_Loss_FC': 1e-05}
15 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 2e-05}
17 saved {'val_OrigRecLoss': 0.00994, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.0099, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
19 saved {'val_OrigRecLoss': 0.00989, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.00988, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.00988, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 2e-05}
22 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 0.0}
23 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00517, 'val_kl_Loss_FC': 1e-05}
24 not saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_FC': 0.0}
25 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00517, 'val_kl_Loss_FC': 1e-05}
26 saved {'val_OrigRecLoss': 0.00986, 'val_FeatRecLoss': 0.00514, 'val_kl_Loss_FC': 0.0}
27 saved {'val_OrigRecLoss': 0.00982, 'val_FeatRecLoss': 0.00514, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.00958, 'val_FeatRecLoss': 0.00513, 'val_kl_Loss_FC': 1e-05}
29 saved {'val_OrigRecLoss': 0.0092, 'val_FeatRecLoss': 0.00515, 'val_kl_Loss_FC': 1e-05}
