1 saved {'val_OrigRecLoss': 0.01013, 'val_FeatRecLoss': 0.0026, 'val_kl_Loss_FC': 8e-05}
2 saved {'val_OrigRecLoss': 0.01002, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_FC': 6e-05}
3 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_FC': 0.00038}
4 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_FC': 0.00036}
5 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00023}
6 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_FC': 6e-05}
7 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00039}
8 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00038}
9 saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00036}
10 saved {'val_OrigRecLoss': 0.00989, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00053}
11 not saved {'val_OrigRecLoss': 0.00994, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00018}
12 saved {'val_OrigRecLoss': 0.00988, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00053}
13 saved {'val_OrigRecLoss': 0.00983, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.00059}
14 saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_FC': 0.00075}
15 saved {'val_OrigRecLoss': 0.0098, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00015}
16 saved {'val_OrigRecLoss': 0.0098, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.00032}
17 not saved {'val_OrigRecLoss': 0.00983, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.0007}
18 not saved {'val_OrigRecLoss': 0.0098, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.0006}
19 saved {'val_OrigRecLoss': 0.00978, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.00076}
20 saved {'val_OrigRecLoss': 0.00971, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.00032}
21 saved {'val_OrigRecLoss': 0.00948, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 5e-05}
22 saved {'val_OrigRecLoss': 0.00915, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00021}
23 saved {'val_OrigRecLoss': 0.00882, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_FC': 0.00031}
24 saved {'val_OrigRecLoss': 0.00841, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 8e-05}
25 saved {'val_OrigRecLoss': 0.00808, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.00052}
26 saved {'val_OrigRecLoss': 0.00732, 'val_FeatRecLoss': 0.00255, 'val_kl_Loss_FC': 0.0005}
27 saved {'val_OrigRecLoss': 0.00641, 'val_FeatRecLoss': 0.00254, 'val_kl_Loss_FC': 0.00033}
28 saved {'val_OrigRecLoss': 0.00563, 'val_FeatRecLoss': 0.0025, 'val_kl_Loss_FC': 0.00053}
29 saved {'val_OrigRecLoss': 0.00471, 'val_FeatRecLoss': 0.00244, 'val_kl_Loss_FC': 0.00062}
30 saved {'val_OrigRecLoss': 0.00385, 'val_FeatRecLoss': 0.00237, 'val_kl_Loss_FC': 3e-05}
31 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00235, 'val_kl_Loss_FC': 0.00022}
32 saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.00233, 'val_kl_Loss_FC': 5e-05}
33 saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00231, 'val_kl_Loss_FC': 0.0002}
34 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00222, 'val_kl_Loss_FC': 9e-05}
35 saved {'val_OrigRecLoss': 0.00213, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 0.00018}
36 saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_FC': 5e-05}
37 saved {'val_OrigRecLoss': 0.00193, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_FC': 0.00019}
38 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_FC': 0.00054}
39 saved {'val_OrigRecLoss': 0.00178, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_FC': 0.0003}
40 not saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.0009, 'val_kl_Loss_FC': 3e-05}
41 saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 3e-05}
42 saved {'val_OrigRecLoss': 0.00163, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.00019}
43 saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_FC': 0.00028}
44 saved {'val_OrigRecLoss': 0.00158, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_FC': 0.00022}
45 saved {'val_OrigRecLoss': 0.00151, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 2e-05}
46 saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_FC': 0.00025}
47 saved {'val_OrigRecLoss': 0.00143, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_FC': 3e-05}
48 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_FC': 0.0005}
49 saved {'val_OrigRecLoss': 0.00139, 'val_FeatRecLoss': 0.00059, 'val_kl_Loss_FC': 0.00016}
50 saved {'val_OrigRecLoss': 0.00138, 'val_FeatRecLoss': 0.00059, 'val_kl_Loss_FC': 3e-05}
51 not saved {'val_OrigRecLoss': 0.00141, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_FC': 0.00018}
52 saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_FC': 3e-05}
