1 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00612, 'val_kl_Loss_Z': 0.39495, 'val_kl_Loss_FC': 1e-05}
2 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00608, 'val_kl_Loss_Z': 0.25289, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00605, 'val_kl_Loss_Z': 0.22089, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.20274, 'val_kl_Loss_FC': 0.0}
5 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00604, 'val_kl_Loss_Z': 0.18571, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.18155, 'val_kl_Loss_FC': 0.0}
7 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00606, 'val_kl_Loss_Z': 0.17568, 'val_kl_Loss_FC': 1e-05}
8 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.15893, 'val_kl_Loss_FC': 1e-05}
9 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.15279, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.1463, 'val_kl_Loss_FC': 0.0}
11 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00604, 'val_kl_Loss_Z': 0.14735, 'val_kl_Loss_FC': 0.0}
12 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.13814, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.1426, 'val_kl_Loss_FC': 0.0}
14 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.1436, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.13459, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.13746, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.13142, 'val_kl_Loss_FC': 1e-05}
18 not saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.12953, 'val_kl_Loss_FC': 1e-05}
19 not saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.13362, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.12784, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.13348, 'val_kl_Loss_FC': 1e-05}
22 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.12215, 'val_kl_Loss_FC': 1e-05}
23 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.12291, 'val_kl_Loss_FC': 0.0}
24 saved {'val_OrigRecLoss': 0.01125, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.14458, 'val_kl_Loss_FC': 1e-05}
25 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12233, 'val_kl_Loss_FC': 0.0}
26 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12307, 'val_kl_Loss_FC': 0.0}
27 saved {'val_OrigRecLoss': 0.01116, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.12829, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.01105, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12913, 'val_kl_Loss_FC': 0.0}
29 saved {'val_OrigRecLoss': 0.01085, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.13059, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.0104, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.11603, 'val_kl_Loss_FC': 1e-05}
31 not saved {'val_OrigRecLoss': 0.01046, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11811, 'val_kl_Loss_FC': 0.0}
32 saved {'val_OrigRecLoss': 0.00839, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.1263, 'val_kl_Loss_FC': 0.0}
33 saved {'val_OrigRecLoss': 0.00695, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.13609, 'val_kl_Loss_FC': 0.0}
34 saved {'val_OrigRecLoss': 0.00576, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.12276, 'val_kl_Loss_FC': 1e-05}
35 saved {'val_OrigRecLoss': 0.0052, 'val_FeatRecLoss': 0.00598, 'val_kl_Loss_Z': 0.14286, 'val_kl_Loss_FC': 1e-05}
36 not saved {'val_OrigRecLoss': 0.00511, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.11705, 'val_kl_Loss_FC': 1e-05}
37 not saved {'val_OrigRecLoss': 0.00463, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.11509, 'val_kl_Loss_FC': 0.0}
38 not saved {'val_OrigRecLoss': 0.0044, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.115, 'val_kl_Loss_FC': 0.0}
39 not saved {'val_OrigRecLoss': 0.00406, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11822, 'val_kl_Loss_FC': 0.0}
40 not saved {'val_OrigRecLoss': 0.00385, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11819, 'val_kl_Loss_FC': 1e-05}
41 not saved {'val_OrigRecLoss': 0.00361, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.1061, 'val_kl_Loss_FC': 1e-05}
42 not saved {'val_OrigRecLoss': 0.00354, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11022, 'val_kl_Loss_FC': 0.0}
43 not saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.12053, 'val_kl_Loss_FC': 0.0}
44 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12334, 'val_kl_Loss_FC': 0.0}
45 not saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00604, 'val_kl_Loss_Z': 0.11111, 'val_kl_Loss_FC': 0.0}
46 not saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.12054, 'val_kl_Loss_FC': 0.0}
47 not saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.10148, 'val_kl_Loss_FC': 0.0}
48 not saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.10542, 'val_kl_Loss_FC': 0.0}
49 not saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.12202, 'val_kl_Loss_FC': 1e-05}
50 not saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11893, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11827, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.0027, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.12894, 'val_kl_Loss_FC': 1e-05}
53 not saved {'val_OrigRecLoss': 0.00261, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.10605, 'val_kl_Loss_FC': 0.0}
54 not saved {'val_OrigRecLoss': 0.00251, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.15212, 'val_kl_Loss_FC': 1e-05}
55 not saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.11066, 'val_kl_Loss_FC': 1e-05}
56 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.11032, 'val_kl_Loss_FC': 0.0}
57 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00602, 'val_kl_Loss_Z': 0.10844, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00248, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 0.10091, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00603, 'val_kl_Loss_Z': 0.10107, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.09447, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.10761, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 0.12494, 'val_kl_Loss_FC': 0.0}
63 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00601, 'val_kl_Loss_Z': 0.1098, 'val_kl_Loss_FC': 0.0}
