1 saved {'val_OrigRecLoss': 0.01011, 'val_FeatRecLoss': 0.00538, 'val_kl_Loss_Z': 0.42129, 'val_kl_Loss_FC': 0.0}
2 saved {'val_OrigRecLoss': 0.01, 'val_FeatRecLoss': 0.00532, 'val_kl_Loss_Z': 0.28747, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00999, 'val_FeatRecLoss': 0.00529, 'val_kl_Loss_Z': 0.2546, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00524, 'val_kl_Loss_Z': 0.23739, 'val_kl_Loss_FC': 1e-05}
5 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00526, 'val_kl_Loss_Z': 0.22352, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.20006, 'val_kl_Loss_FC': 1e-05}
7 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00527, 'val_kl_Loss_Z': 0.18875, 'val_kl_Loss_FC': 1e-05}
8 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00524, 'val_kl_Loss_Z': 0.18401, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.17749, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00524, 'val_kl_Loss_Z': 0.16932, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.16199, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.15886, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.15751, 'val_kl_Loss_FC': 1e-05}
14 saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.15711, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.14845, 'val_kl_Loss_FC': 1e-05}
