1 saved {'val_OrigRecLoss': 0.01157, 'val_FeatRecLoss': 0.00322, 'val_kl_Loss_Z': 1.35574, 'val_kl_Loss_FC': 0.00019}
2 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.88356, 'val_kl_Loss_FC': 0.00025}
3 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00307, 'val_kl_Loss_Z': 1.86538, 'val_kl_Loss_FC': 0.00039}
4 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00306, 'val_kl_Loss_Z': 1.91808, 'val_kl_Loss_FC': 0.00013}
5 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 2.07942, 'val_kl_Loss_FC': 0.0001}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 2.00418, 'val_kl_Loss_FC': 0.0001}
7 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 2.05775, 'val_kl_Loss_FC': 0.00012}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 2.02462, 'val_kl_Loss_FC': 2e-05}
9 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 2.01564, 'val_kl_Loss_FC': 8e-05}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 1.98982, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.97756, 'val_kl_Loss_FC': 1e-05}
12 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.96866, 'val_kl_Loss_FC': 2e-05}
13 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.88769, 'val_kl_Loss_FC': 2e-05}
14 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.77259, 'val_kl_Loss_FC': 3e-05}
15 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.74293, 'val_kl_Loss_FC': 1e-05}
16 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.66476, 'val_kl_Loss_FC': 3e-05}
17 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.51995, 'val_kl_Loss_FC': 5e-05}
18 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.4722, 'val_kl_Loss_FC': 3e-05}
19 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.4324, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.39405, 'val_kl_Loss_FC': 0.0}
21 not saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.38132, 'val_kl_Loss_FC': 1e-05}
22 saved {'val_OrigRecLoss': 0.0112, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.33902, 'val_kl_Loss_FC': 3e-05}
23 saved {'val_OrigRecLoss': 0.01105, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.31636, 'val_kl_Loss_FC': 1e-05}
