1 saved {'val_OrigRecLoss': 0.01006, 'val_FeatRecLoss': 0.00272, 'val_kl_Loss_Z': 1.37431, 'val_kl_Loss_FC': 3e-05}
2 saved {'val_OrigRecLoss': 0.01, 'val_FeatRecLoss': 0.00264, 'val_kl_Loss_Z': 1.91188, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00999, 'val_FeatRecLoss': 0.00262, 'val_kl_Loss_Z': 2.05924, 'val_kl_Loss_FC': 1e-05}
4 not saved {'val_OrigRecLoss': 0.01, 'val_FeatRecLoss': 0.00261, 'val_kl_Loss_Z': 1.9723, 'val_kl_Loss_FC': 0.0}
5 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.83894, 'val_kl_Loss_FC': 0.0}
6 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.0026, 'val_kl_Loss_Z': 1.745, 'val_kl_Loss_FC': 0.0}
7 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.65318, 'val_kl_Loss_FC': 1e-05}
8 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.60719, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.55918, 'val_kl_Loss_FC': 1e-05}
10 saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.52021, 'val_kl_Loss_FC': 0.0}
11 saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.47846, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00989, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.4531, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.45016, 'val_kl_Loss_FC': 0.0}
14 saved {'val_OrigRecLoss': 0.00984, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.42873, 'val_kl_Loss_FC': 1e-05}
15 not saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.40541, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 1.3691, 'val_kl_Loss_FC': 1e-05}
17 not saved {'val_OrigRecLoss': 0.00985, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.34473, 'val_kl_Loss_FC': 1e-05}
18 not saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.31328, 'val_kl_Loss_FC': 1e-05}
19 saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.27284, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.0098, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 1.26493, 'val_kl_Loss_FC': 0.0}
21 not saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.22716, 'val_kl_Loss_FC': 0.0}
22 not saved {'val_OrigRecLoss': 0.00981, 'val_FeatRecLoss': 0.00259, 'val_kl_Loss_Z': 1.25316, 'val_kl_Loss_FC': 1e-05}
23 saved {'val_OrigRecLoss': 0.00979, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.18978, 'val_kl_Loss_FC': 1e-05}
24 saved {'val_OrigRecLoss': 0.00965, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 1.1926, 'val_kl_Loss_FC': 0.0}
