1 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00605, 'val_kl_Loss_Z': 2.47581}
2 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 2.95423}
3 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00585, 'val_kl_Loss_Z': 2.72885}
4 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00577, 'val_kl_Loss_Z': 2.54142}
5 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00572, 'val_kl_Loss_Z': 2.4383}
6 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00565, 'val_kl_Loss_Z': 2.34103}
7 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00561, 'val_kl_Loss_Z': 2.25815}
8 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00553, 'val_kl_Loss_Z': 2.18357}
9 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00547, 'val_kl_Loss_Z': 2.18304}
10 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00535, 'val_kl_Loss_Z': 2.10396}
11 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00525, 'val_kl_Loss_Z': 2.06869}
12 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0051, 'val_kl_Loss_Z': 2.04958}
13 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00498, 'val_kl_Loss_Z': 2.01324}
14 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.0048, 'val_kl_Loss_Z': 1.98944}
15 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00466, 'val_kl_Loss_Z': 1.94588}
16 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00442, 'val_kl_Loss_Z': 1.93861}
17 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00418, 'val_kl_Loss_Z': 1.8547}
18 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00395, 'val_kl_Loss_Z': 1.88744}
19 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00375, 'val_kl_Loss_Z': 1.8066}
20 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00351, 'val_kl_Loss_Z': 1.75229}
21 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00325, 'val_kl_Loss_Z': 1.73756}
22 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00305, 'val_kl_Loss_Z': 1.71365}
23 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00284, 'val_kl_Loss_Z': 1.67597}
24 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00262, 'val_kl_Loss_Z': 1.63614}
25 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00241, 'val_kl_Loss_Z': 1.58328}
26 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00224, 'val_kl_Loss_Z': 1.56086}
27 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00208, 'val_kl_Loss_Z': 1.48813}
28 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 1.48553}
29 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 1.43435}
30 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 1.41346}
31 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 1.39468}
32 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 1.37644}
33 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 1.31896}
34 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 1.28985}
35 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 1.28693}
36 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_Z': 1.31255}
37 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00102, 'val_kl_Loss_Z': 1.22172}
38 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_Z': 1.25801}
39 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00093, 'val_kl_Loss_Z': 1.20098}
40 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_Z': 1.20388}
41 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_Z': 1.19384}
42 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 1.17922}
43 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 1.14782}
44 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 1.14291}
45 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 1.13673}
46 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 1.11555}
