1 saved {'val_OrigRecLoss': 0.01003, 'val_FeatRecLoss': 0.00531, 'val_kl_Loss_Z': 2.94634}
2 not saved {'val_OrigRecLoss': 0.01005, 'val_FeatRecLoss': 0.00516, 'val_kl_Loss_Z': 3.47843}
3 saved {'val_OrigRecLoss': 0.00999, 'val_FeatRecLoss': 0.00512, 'val_kl_Loss_Z': 3.1484}
4 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00503, 'val_kl_Loss_Z': 2.90096}
5 not saved {'val_OrigRecLoss': 0.01002, 'val_FeatRecLoss': 0.00498, 'val_kl_Loss_Z': 2.70225}
6 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00493, 'val_kl_Loss_Z': 2.54747}
7 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00492, 'val_kl_Loss_Z': 2.38192}
8 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00484, 'val_kl_Loss_Z': 2.38379}
9 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00475, 'val_kl_Loss_Z': 2.2947}
10 not saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00467, 'val_kl_Loss_Z': 2.28723}
11 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00458, 'val_kl_Loss_Z': 2.16215}
12 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00446, 'val_kl_Loss_Z': 2.08927}
13 not saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00437, 'val_kl_Loss_Z': 2.08797}
14 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00425, 'val_kl_Loss_Z': 2.09217}
15 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00407, 'val_kl_Loss_Z': 1.96699}
16 saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.00387, 'val_kl_Loss_Z': 1.89872}
17 not saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00367, 'val_kl_Loss_Z': 1.89523}
18 saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.00349, 'val_kl_Loss_Z': 1.82435}
19 not saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00329, 'val_kl_Loss_Z': 1.79121}
20 saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.78865}
21 not saved {'val_OrigRecLoss': 0.00999, 'val_FeatRecLoss': 0.00286, 'val_kl_Loss_Z': 1.76767}
22 saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00267, 'val_kl_Loss_Z': 1.74253}
23 saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.00248, 'val_kl_Loss_Z': 1.66032}
24 saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.0023, 'val_kl_Loss_Z': 1.6526}
25 not saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_Z': 1.59995}
26 not saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 1.55771}
27 not saved {'val_OrigRecLoss': 0.00995, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 1.50582}
28 not saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 1.49382}
29 not saved {'val_OrigRecLoss': 0.00992, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 1.47336}
