1 saved {'val_OrigRecLoss': 0.00046, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_FC': 1e-05}
2 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_FC': 1e-05}
3 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
5 not saved {'val_OrigRecLoss': 0.00048, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
7 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
8 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
10 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_FC': 1e-05}
13 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
14 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
16 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
17 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
18 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
19 not saved {'val_OrigRecLoss': 0.00045, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
21 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
22 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 2e-05}
23 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
24 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
25 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
26 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
27 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
28 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
29 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 2e-05}
30 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
31 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
32 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
33 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
34 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
35 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
36 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
37 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
38 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
39 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
40 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
41 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
42 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
43 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
44 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
45 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
46 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
47 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
48 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
49 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
50 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
