1 saved {'val_OrigRecLoss': 0.00334, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_FC': 1e-05}
2 saved {'val_OrigRecLoss': 0.00325, 'val_FeatRecLoss': 0.00207, 'val_kl_Loss_FC': 3e-05}
3 saved {'val_OrigRecLoss': 0.00325, 'val_FeatRecLoss': 0.00204, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00204, 'val_kl_Loss_FC': 1e-05}
5 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00203, 'val_kl_Loss_FC': 0.0}
6 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 1e-05}
7 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_FC': 1e-05}
8 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 1e-05}
11 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 0.0}
12 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 1e-05}
14 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 1e-05}
15 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 0.0}
17 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 0.0}
18 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 2e-05}
19 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 1e-05}
21 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 1e-05}
23 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 0.0}
24 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 1e-05}
25 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 1e-05}
26 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 1e-05}
27 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
28 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
29 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 0.0}
31 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
32 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 0.0}
33 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_FC': 1e-05}
34 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
35 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 2e-05}
36 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_FC': 0.0}
37 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 1e-05}
