1 saved {'val_OrigRecLoss': 0.00333, 'val_FeatRecLoss': 0.00209, 'val_kl_Loss_Z': 0.73627, 'val_kl_Loss_FC': 1e-05}
2 saved {'val_OrigRecLoss': 0.00325, 'val_FeatRecLoss': 0.00209, 'val_kl_Loss_Z': 0.51887, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00209, 'val_kl_Loss_Z': 0.41076, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00205, 'val_kl_Loss_Z': 0.29187, 'val_kl_Loss_FC': 0.0}
5 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.2946, 'val_kl_Loss_FC': 1e-05}
6 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.40687, 'val_kl_Loss_FC': 0.0}
7 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.35469, 'val_kl_Loss_FC': 0.0}
8 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.42718, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.43431, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.30447, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29415, 'val_kl_Loss_FC': 0.0}
12 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.36804, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.26155, 'val_kl_Loss_FC': 0.0}
14 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.27005, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29296, 'val_kl_Loss_FC': 0.0}
16 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30498, 'val_kl_Loss_FC': 2e-05}
17 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.29896, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31214, 'val_kl_Loss_FC': 0.0}
19 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30653, 'val_kl_Loss_FC': 1e-05}
20 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.3149, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31588, 'val_kl_Loss_FC': 0.0}
22 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.31578, 'val_kl_Loss_FC': 0.0}
23 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.31864, 'val_kl_Loss_FC': 1e-05}
24 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.32432, 'val_kl_Loss_FC': 0.0}
25 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.3181, 'val_kl_Loss_FC': 0.0}
26 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.3103, 'val_kl_Loss_FC': 1e-05}
27 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.32079, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.3212, 'val_kl_Loss_FC': 1e-05}
29 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31468, 'val_kl_Loss_FC': 1e-05}
30 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.33014, 'val_kl_Loss_FC': 1e-05}
31 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.32085, 'val_kl_Loss_FC': 1e-05}
32 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30137, 'val_kl_Loss_FC': 0.0}
33 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.40902, 'val_kl_Loss_FC': 1e-05}
34 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.30061, 'val_kl_Loss_FC': 1e-05}
35 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.30389, 'val_kl_Loss_FC': 0.0}
36 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.29933, 'val_kl_Loss_FC': 0.0}
37 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.31954, 'val_kl_Loss_FC': 1e-05}
38 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31379, 'val_kl_Loss_FC': 0.0}
39 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.31711, 'val_kl_Loss_FC': 1e-05}
40 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31784, 'val_kl_Loss_FC': 0.0}
41 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.30114, 'val_kl_Loss_FC': 0.0}
42 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30206, 'val_kl_Loss_FC': 1e-05}
43 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31235, 'val_kl_Loss_FC': 1e-05}
44 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.35566, 'val_kl_Loss_FC': 0.0}
45 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30217, 'val_kl_Loss_FC': 1e-05}
46 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.29714, 'val_kl_Loss_FC': 0.0}
47 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30848, 'val_kl_Loss_FC': 1e-05}
48 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30529, 'val_kl_Loss_FC': 0.0}
49 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30266, 'val_kl_Loss_FC': 0.0}
50 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29488, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30807, 'val_kl_Loss_FC': 1e-05}
52 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30487, 'val_kl_Loss_FC': 1e-05}
53 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30081, 'val_kl_Loss_FC': 1e-05}
54 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.28999, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.31643, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28398, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30312, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28293, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29456, 'val_kl_Loss_FC': 0.0}
60 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27356, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28133, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27695, 'val_kl_Loss_FC': 0.0}
63 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.2957, 'val_kl_Loss_FC': 1e-05}
