1 saved {'val_OrigRecLoss': 0.00046, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 2.37659, 'val_kl_Loss_FC': 7e-05}
2 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 1.44617, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 2.04149, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.43647, 'val_kl_Loss_FC': 0.0}
5 not saved {'val_OrigRecLoss': 0.00046, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.99089, 'val_kl_Loss_FC': 0.0}
6 not saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.23817, 'val_kl_Loss_FC': 2e-05}
7 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.42891, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 3.52627, 'val_kl_Loss_FC': 1e-05}
9 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.94627, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.88623, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 4.00378, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.82996, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.78453, 'val_kl_Loss_FC': 0.0}
14 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.62634, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.46839, 'val_kl_Loss_FC': 1e-05}
16 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.24572, 'val_kl_Loss_FC': 1e-05}
17 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.33234, 'val_kl_Loss_FC': 0.0}
18 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.32897, 'val_kl_Loss_FC': 0.0}
19 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.11758, 'val_kl_Loss_FC': 1e-05}
20 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.12531, 'val_kl_Loss_FC': 1e-05}
21 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.88937, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.73362, 'val_kl_Loss_FC': 1e-05}
23 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.89448, 'val_kl_Loss_FC': 0.0}
24 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.75572, 'val_kl_Loss_FC': 1e-05}
25 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.77156, 'val_kl_Loss_FC': 0.0}
26 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.75483, 'val_kl_Loss_FC': 1e-05}
27 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.7793, 'val_kl_Loss_FC': 0.0}
28 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.71986, 'val_kl_Loss_FC': 1e-05}
29 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.55869, 'val_kl_Loss_FC': 0.0}
30 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.59486, 'val_kl_Loss_FC': 0.0}
31 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.56954, 'val_kl_Loss_FC': 0.0}
32 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.57379, 'val_kl_Loss_FC': 1e-05}
33 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.5123, 'val_kl_Loss_FC': 0.0}
34 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.50499, 'val_kl_Loss_FC': 0.0}
35 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.49707, 'val_kl_Loss_FC': 0.0}
36 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.41147, 'val_kl_Loss_FC': 1e-05}
37 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.46786, 'val_kl_Loss_FC': 1e-05}
38 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.49238, 'val_kl_Loss_FC': 1e-05}
39 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.48118, 'val_kl_Loss_FC': 0.0}
40 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.49555, 'val_kl_Loss_FC': 0.0}
41 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.37351, 'val_kl_Loss_FC': 0.0}
42 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.42872, 'val_kl_Loss_FC': 0.0}
43 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.36611, 'val_kl_Loss_FC': 0.0}
44 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.31692, 'val_kl_Loss_FC': 0.0}
45 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.32076, 'val_kl_Loss_FC': 1e-05}
46 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.34393, 'val_kl_Loss_FC': 1e-05}
47 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.32084, 'val_kl_Loss_FC': 0.0}
