1 saved {'val_OrigRecLoss': 0.00048, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_Z': 0.92258, 'val_kl_Loss_FC': 0.00029}
2 saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 1.77381, 'val_kl_Loss_FC': 0.00027}
3 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.74595, 'val_kl_Loss_FC': 0.00018}
4 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.68731, 'val_kl_Loss_FC': 0.00026}
5 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 2.28711, 'val_kl_Loss_FC': 0.00038}
6 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 2.4161, 'val_kl_Loss_FC': 3e-05}
7 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 2.52724, 'val_kl_Loss_FC': 0.00017}
8 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 3.07045, 'val_kl_Loss_FC': 0.0004}
9 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 2.07684, 'val_kl_Loss_FC': 9e-05}
10 not saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 1.79482, 'val_kl_Loss_FC': 7e-05}
11 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.075, 'val_kl_Loss_FC': 3e-05}
12 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 2.45092, 'val_kl_Loss_FC': 5e-05}
13 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.26368, 'val_kl_Loss_FC': 0.00045}
14 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 2.51284, 'val_kl_Loss_FC': 0.00026}
15 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.41885, 'val_kl_Loss_FC': 5e-05}
16 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.41833, 'val_kl_Loss_FC': 0.00016}
17 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.29187, 'val_kl_Loss_FC': 7e-05}
18 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.36706, 'val_kl_Loss_FC': 0.00018}
19 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.16168, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.4105, 'val_kl_Loss_FC': 4e-05}
21 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 1.81656, 'val_kl_Loss_FC': 8e-05}
22 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.15875, 'val_kl_Loss_FC': 6e-05}
23 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.03973, 'val_kl_Loss_FC': 0.00013}
24 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 2.12041, 'val_kl_Loss_FC': 0.00024}
25 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.18668, 'val_kl_Loss_FC': 2e-05}
26 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.11562, 'val_kl_Loss_FC': 0.0001}
27 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 1.8403, 'val_kl_Loss_FC': 4e-05}
28 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.01375, 'val_kl_Loss_FC': 2e-05}
29 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.16934, 'val_kl_Loss_FC': 5e-05}
30 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.20362, 'val_kl_Loss_FC': 0.0001}
31 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.2156, 'val_kl_Loss_FC': 6e-05}
32 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.157, 'val_kl_Loss_FC': 7e-05}
33 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 2.03105, 'val_kl_Loss_FC': 5e-05}
34 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.06742, 'val_kl_Loss_FC': 6e-05}
35 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.05989, 'val_kl_Loss_FC': 1e-05}
36 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.11768, 'val_kl_Loss_FC': 0.00027}
37 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.07729, 'val_kl_Loss_FC': 0.00014}
38 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.13265, 'val_kl_Loss_FC': 5e-05}
39 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.17767, 'val_kl_Loss_FC': 6e-05}
40 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.06529, 'val_kl_Loss_FC': 8e-05}
41 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.17631, 'val_kl_Loss_FC': 0.00013}
42 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.20741, 'val_kl_Loss_FC': 7e-05}
43 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.19583, 'val_kl_Loss_FC': 0.00027}
44 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.17361, 'val_kl_Loss_FC': 0.00013}
45 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.01434, 'val_kl_Loss_FC': 6e-05}
46 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.18957, 'val_kl_Loss_FC': 1e-05}
47 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.0138, 'val_kl_Loss_FC': 1e-05}
48 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.0943, 'val_kl_Loss_FC': 2e-05}
49 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.12086, 'val_kl_Loss_FC': 4e-05}
50 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.20474, 'val_kl_Loss_FC': 1e-05}
51 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.27101, 'val_kl_Loss_FC': 3e-05}
52 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.31403, 'val_kl_Loss_FC': 7e-05}
53 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 2.05501, 'val_kl_Loss_FC': 1e-05}
54 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.3161, 'val_kl_Loss_FC': 3e-05}
55 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.36746, 'val_kl_Loss_FC': 1e-05}
56 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.31922, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.22816, 'val_kl_Loss_FC': 0.0001}
58 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.14906, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.13944, 'val_kl_Loss_FC': 0.00014}
60 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.11548, 'val_kl_Loss_FC': 2e-05}
61 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.25841, 'val_kl_Loss_FC': 3e-05}
62 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.17197, 'val_kl_Loss_FC': 3e-05}
63 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.19921, 'val_kl_Loss_FC': 9e-05}
64 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.23549, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 2.21491, 'val_kl_Loss_FC': 2e-05}
