1 saved {'val_OrigRecLoss': 0.00341, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 3.50828, 'val_kl_Loss_FC': 0.0}
2 saved {'val_OrigRecLoss': 0.00335, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 3.62965, 'val_kl_Loss_FC': 4e-05}
3 saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 3.75189, 'val_kl_Loss_FC': 0.00019}
4 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 4.15061, 'val_kl_Loss_FC': 0.00029}
5 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 4.20785, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 4.07876, 'val_kl_Loss_FC': 1e-05}
7 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 3.96459, 'val_kl_Loss_FC': 3e-05}
8 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 3.58878, 'val_kl_Loss_FC': 2e-05}
9 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 3.04214, 'val_kl_Loss_FC': 6e-05}
10 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 2.38734, 'val_kl_Loss_FC': 0.0}
11 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 1.43733, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.63398, 'val_kl_Loss_FC': 1e-05}
13 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.30654, 'val_kl_Loss_FC': 1e-05}
14 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.17988, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.13647, 'val_kl_Loss_FC': 0.0}
16 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 0.13731, 'val_kl_Loss_FC': 0.0}
17 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.21056, 'val_kl_Loss_FC': 1e-05}
18 not saved {'val_OrigRecLoss': 0.00326, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.11823, 'val_kl_Loss_FC': 1e-05}
19 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.70421, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_Z': 0.20978, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.28678, 'val_kl_Loss_FC': 1e-05}
22 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.20121, 'val_kl_Loss_FC': 1e-05}
23 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.27035, 'val_kl_Loss_FC': 0.0}
24 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.19634, 'val_kl_Loss_FC': 0.0}
25 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.16141, 'val_kl_Loss_FC': 1e-05}
26 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 0.17575, 'val_kl_Loss_FC': 1e-05}
