1 saved {'val_OrigRecLoss': 0.00045, 'val_FeatRecLoss': 0.00069, 'val_kl_Loss_Z': 0.90714}
2 saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.86142}
3 not saved {'val_OrigRecLoss': 0.00051, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 1.74666}
4 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.43116}
5 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.42298}
6 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.58293}
7 not saved {'val_OrigRecLoss': 0.00046, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 4.16433}
8 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 4.20225}
9 not saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 4.22174}
10 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 4.13642}
11 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 4.18517}
12 not saved {'val_OrigRecLoss': 0.00058, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 4.1383}
13 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 3.92863}
14 not saved {'val_OrigRecLoss': 0.00052, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 3.77282}
15 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 3.74691}
16 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 3.59937}
17 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 3.39288}
18 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 3.39294}
19 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 3.19816}
20 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 3.36712}
21 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 3.15514}
22 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 3.28497}
23 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 3.04087}
24 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 3.0783}
25 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 3.01853}
26 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 2.75237}
27 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 2.9574}
28 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 2.78111}
29 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 2.91277}
30 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 2.94379}
31 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 2.86491}
32 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 2.6606}
33 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 2.64419}
34 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 2.79836}
