1 saved {'val_OrigRecLoss': 0.00333, 'val_FeatRecLoss': 0.00207, 'val_kl_Loss_Z': 0.8118}
2 saved {'val_OrigRecLoss': 0.00328, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.50336}
3 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.33774}
4 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.22343}
5 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.15672}
6 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_Z': 0.13147}
7 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 0.14891}
8 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 0.11399}
9 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 0.48572}
10 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 0.39865}
11 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.41663}
12 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.36149}
13 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.29611}
14 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 0.29912}
15 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.30456}
16 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_Z': 0.31025}
17 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.32682}
18 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_Z': 0.32145}
